rxn_name,subsystem,in iRhtoC,in yeastGEM_hvd,gpr,bounds,stoichiometry
IPMD_c,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': 'YCL018W', 'iRhtoC': 'rt5526'}",,
3MOBDC_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YGR087C or YLR044C or YLR134W', 'iRhtoC': 'rt7423'}",,
MTMOHT_m,Pantothenate and CoA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YBR176W', 'iRhtoC': 'rt0075'}",,
PSCIT_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR127W', 'iRhtoC': 'rt5884'}",,
ADCS_c,Folate metabolism,1,1,"{'GSM_iSace1144_rba': 'YNR033W', 'iRhtoC': 'rt5301'}",,
ADCL_c,Folate metabolism,1,1,"{'GSM_iSace1144_rba': 'YMR289W', 'iRhtoC': 'rt4108'}",,
ABTA_c,"Alanine, aspartate and glutamate metabolism",1,1,"{'GSM_iSace1144_rba': 'YGR019W', 'iRhtoC': 'rt7537 or rt2569'}",,
4HTHRS_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YCR053W', 'iRhtoC': 'rt1374'}",,
4DPMIPPH_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YLR410W or YOR163W', 'iRhtoC': 'rt1973'}",,
IPPYP1_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YDR017C', 'iRhtoC': 'rt1395'}",,
MTAP_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR017W', 'iRhtoC': 'rt0004'}",,
NTD4pp_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER037W or YGL224C', 'iRhtoC': 'rt1627'}",,
NTD2pp_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER037W or YGL224C', 'iRhtoC': 'rt1627'}",,
PRFGS_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YGR061C', 'iRhtoC': 'rt6665'}",,
MTHFR3_c,Folate metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL125W or YPL023C', 'iRhtoC': 'rt7115 and rt0876'}",,
ALAS_m,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR232W', 'iRhtoC': 'rt0309'}",,
PMI12346PS_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YDR017C', 'iRhtoC': 'rt1395'}",,
MHPGLUT_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER091C', 'iRhtoC': 'rt1457'}",,
MDRPD_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJR024C', 'iRhtoC': 'rt7461'}",,
MTRI_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YPR118W', 'iRhtoC': 'rt5017'}",,
IPPYP2_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YLR410W', 'iRhtoC': 'rt1973'}",,
IPPYP3_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YLR410W', 'iRhtoC': 'rt1973'}",,
6DPMIPPH_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YLR410W or YOR163W', 'iRhtoC': 'rt1973 or rt1395'}",,
IPPYP4_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YDR017C', 'iRhtoC': 'rt1395'}",,
ACALDCD_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YGR087C or YLR044C or YLR134W', 'iRhtoC': 'rt7423'}",,
KARA1i_m,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': 'YLR355C', 'iRhtoC': 'rt0808'}",,
ACLS_m,"Valine, leucine and isoleucine metabolism",1,1,"{'GSM_iSace1144_rba': '(YCL009C and YMR108W) or YMR108W', 'iRhtoC': '(rt1432 and rt7317) or rt7317'}",,
ACOATA_m,Fatty acid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YKL192C', 'iRhtoC': 'rt5893'}",,
ACACT180i_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YIL160C', 'iRhtoC': 'rt5445 or rt6860 or rt0697'}",,"{'GSM_iSace1144_rba': '3ohodcoa_x + coa_x --> accoa_x + pmtcoa_x', 'iRhtoC': '3ohodcoa_x + coa_x --> accoa_x + h_x + pmtcoa_x'}"
ACACT260i_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YIL160C', 'iRhtoC': 'rt5445 or rt6860 or rt0697'}",,
ACACT160i_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YIL160C', 'iRhtoC': 'rt5445 or rt6860 or rt0697'}",,
ACACT40ir_c,Terpenoid backbone biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YPL028W', 'iRhtoC': 'rt0310'}",,
ACACT140i_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YIL160C', 'iRhtoC': 'rt5445 or rt6860 or rt0697'}",,
ACACT100i_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YIL160C', 'iRhtoC': 'rt5445 or rt6860 or rt0697'}",,
ACACT120i_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YIL160C', 'iRhtoC': 'rt5445 or rt6860 or rt0697'}",,
ACGK_m,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YER069W', 'iRhtoC': 'rt1009'}",,
ACP1_e,Riboflavin metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR093C or YAR071W or YBR092C or YHR215W', 'iRhtoC': 'rt5051 or rt1163'}",,
ACONT2_m,Citric acid cycle,1,1,"{'GSM_iSace1144_rba': 'YPR002W', 'iRhtoC': 'rt4274'}",,
ACOTAi_m,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YOL140W', 'iRhtoC': 'rt6510'}",,
ACOAO100_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YGL205W', 'iRhtoC': 'rt1332 or rt4374 or rt4384'}","{'GSM_iSace1144_rba': [0.0, 1000.0], 'iRhtoC': [0.0, 0.0]}",
ACOAO120_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YGL205W', 'iRhtoC': 'rt1332 or rt4374 or rt4384'}","{'GSM_iSace1144_rba': [0.0, 1000.0], 'iRhtoC': [0.0, 0.0]}",
ACOAO260_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YGL205W', 'iRhtoC': 'rt1332 or rt4374 or rt4384'}",,"{'GSM_iSace1144_rba': 'hxccoa_x + o2_x --> h2o2_x + hxc2coa_x', 'iRhtoC': 'hxccoa_x + o2_x --> h2o2_x + 3.0 h_x + hxc2coa_x'}"
ACOAO160_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YGL205W', 'iRhtoC': 'rt1332 or rt4374 or rt4384'}",,
ACOAO180_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YGL205W', 'iRhtoC': 'rt1332 or rt4374 or rt4384'}",,
ACOAO140_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YGL205W', 'iRhtoC': 'rt1332 or rt4374 or rt4384'}",,
ADD_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YNL141W', 'iRhtoC': 'rt8364 or rt3300'}",,
ADPT_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR441C or YML022W', 'iRhtoC': 'rt7825'}",,
ADA_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YNL141W', 'iRhtoC': 'rt8364'}",,
ADNK1_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJR105W', 'iRhtoC': 'rt0017'}",,
AMPDA_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YML035C', 'iRhtoC': 'rt3101'}",,
AHCi_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER043C', 'iRhtoC': 'rt4544'}",,
ADMDC_c,Cysteine and methionine metabolism,1,1,"{'GSM_iSace1144_rba': 'YOL052C', 'iRhtoC': 'rt2849'}",,
AMAOTr_c,Biotin metabolism,1,1,"{'GSM_iSace1144_rba': 'YNR058W', 'iRhtoC': 'rt4363'}",,
ADNCYC_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJL005W', 'iRhtoC': 'rt4919'}",,
ADK1_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YDL166C or YDR226W', 'iRhtoC': 'rt7128 or rt3932'}",,
ADK1_m,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER170W', 'iRhtoC': 'rt6761 or rt7128'}",,
ADK3_m,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER170W', 'iRhtoC': 'rt6761 or rt7128'}",,
ADSL2i_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR359W', 'iRhtoC': 'rt7437'}",,
ADSL1r_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR359W', 'iRhtoC': 'rt7437'}",,
ADSS_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YNL220W', 'iRhtoC': 'rt3802'}",,
ADSK_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YKL001C', 'iRhtoC': 'rt0341'}",,
AGTi_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YFL030W', 'iRhtoC': 'rt0451'}",,
ALATRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YOR335C', 'iRhtoC': 'rt3605'}",,
ALCD2i1_c,Pyruvate metabolism,1,1,"{'GSM_iSace1144_rba': 'YMR303C', 'iRhtoC': 'rt3282'}",,
ALCD19y_c,Pentose and glucuronate interconversions,1,1,"{'GSM_iSace1144_rba': 'YDR368W or YHR104W', 'iRhtoC': 'rt3514'}",,
ALCD2i2_m,Pyruvate metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL256W or YMR083W', 'iRhtoC': 'rt0733 or rt3939'}",,
ALCD22xi_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YBR145W or YDL168W or YOL086C', 'iRhtoC': 'rt7110 or rt5740 or rt8149'}",,
ALCD22xi_m,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YGL256W or YMR083W', 'iRhtoC': 'rt0733 or rt3939'}",,
ALCD22yi_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YCR105W or YDR368W or YMR318C', 'iRhtoC': 'rt5194 or rt3514 or rt5579 or rt1661 or rt4416 or rt5186'}",,
ALCD25xi_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YBR145W or YDL168W or YOL086C', 'iRhtoC': 'rt7110 or rt5740 or rt8149'}",,
ALCD25xi_m,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YGL256W or YMR083W', 'iRhtoC': 'rt0733 or rt3939'}",,
ALCD25yi_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YCR105W or YMR318C', 'iRhtoC': 'rt5194 or rt5579 or rt1661 or rt4416 or rt5186'}",,
ALDD20x_m,Tryptophan metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR374W', 'iRhtoC': 'rt2756'}",,
ALDD20y_m,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YER073W or YOR374W', 'iRhtoC': 'rt3674 or rt2756'}",,
ALCD24xi_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YBR145W or YDL168W or YOL086C', 'iRhtoC': 'rt7110 or rt5740 or rt8149'}",,
ALCD24xi_m,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YGL256W or YMR083W', 'iRhtoC': 'rt0733 or rt3939'}",,
ALCD24yi_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YCR105W or YMR318C', 'iRhtoC': 'rt5194 or rt5579 or rt1661 or rt4416 or rt5186'}",,
ALCD23xi_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YBR145W or YDL168W or YOL086C', 'iRhtoC': 'rt7110 or rt5740 or rt8149'}",,
ALCD23xi_m,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YGL256W or YMR083W', 'iRhtoC': 'rt0733 or rt3939'}",,
ALCD23yi_c,Unassigned,1,1,"{'GSM_iSace1144_rba': 'YCR105W or YMR318C', 'iRhtoC': 'rt5194 or rt5579 or rt1661 or rt4416 or rt5186'}",,
ALCD26xi_c,Tryptophan metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR145W or YDL168W or YOL086C', 'iRhtoC': 'rt7110 or rt5740 or rt8149'}",,
ALCD26xi_m,Tryptophan metabolism,1,1,"{'GSM_iSace1144_rba': 'YGL256W or YMR083W', 'iRhtoC': 'rt0733 or rt3939'}",,
AKP1_c,Folate metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR481C', 'iRhtoC': 'rt5041 or rt3253'}",,
ATAH_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YIR029W', 'iRhtoC': 'rt6356'}",,
ALLTN_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YIR027C', 'iRhtoC': 'rt3516'}",,
ALPHNH_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR208C', 'iRhtoC': 'rt0958'}",,
12AMANTF_g,N-Glycan biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YBR199W or YBR205W or YDR483W or YJL139C or YKR061W or YNL029C or YOR099W or YPL053C', 'iRhtoC': 'rt7201 or rt2093'}",,
TREH_v,Starch and sucrose metabolism,1,1,"{'GSM_iSace1144_rba': 'YPR026W or YBR001C', 'iRhtoC': 'rt0212 or rt0008'}",,
TRE6PS_c,Starch and sucrose metabolism,1,1,"{'GSM_iSace1144_rba': '(YBR126C and YDR074W and YML100W) or (YBR126C and YDR074W and YMR261C)', 'iRhtoC': 'rt3021 and rt3666'}",,
AMID_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': '(YMR293C and YBL080C and YGR102C) or YDR242W', 'iRhtoC': 'rt3257 or rt1908'}",,
ABUTD_m,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YOR374W', 'iRhtoC': 'rt2756'}",,
ANPRT_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR354W', 'iRhtoC': 'rt1532'}",,
ANS_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YER090W and YKL211C', 'iRhtoC': 'rt6741 and rt8196'}",,
AP4AH_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR305C', 'iRhtoC': 'rt0084'}",,
ARGN_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YPL111W', 'iRhtoC': 'rt7813'}",,
ARGSL_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YHR018C', 'iRhtoC': 'rt3236'}",,
ARGSS_c,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YOL058W', 'iRhtoC': 'rt7828'}",,
ARGTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YDR341C', 'iRhtoC': 'rt1711'}",,
ASNS1_c,"Alanine, aspartate and glutamate metabolism",1,1,"{'GSM_iSace1144_rba': 'YGR124W or YPR145W', 'iRhtoC': 'rt6769'}",,
ASNTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YHR019C', 'iRhtoC': 'rt0799'}",,
ASNTRS_m,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YCR024C', 'iRhtoC': 'rt3755'}",,
ASPCT_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJL130C', 'iRhtoC': 'rt8313'}",,
ASPK_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YER052C', 'iRhtoC': 'rt6294'}",,
ASPTA_c,Oxidative phosphorylation,1,1,"{'GSM_iSace1144_rba': 'YLR027C', 'iRhtoC': 'rt0568'}",,
ASPTA_x,Arginine and proline metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR027C', 'iRhtoC': 'rt5913 or rt5562'}",,
ASAD_c,"Glycine, serine and threonine metabolism",1,1,"{'GSM_iSace1144_rba': 'YDR158W', 'iRhtoC': 'rt1962'}",,
ASPTRS_c,Aminoacyl-tRNA biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YLL018C', 'iRhtoC': 'rt5890'}",,
ATPATF1_c,Purine metabolism,1,1,"{'GSM_iSace1144_rba': 'YDR530C', 'iRhtoC': 'rt5328 or rt8184'}",,
ATPPRT_c,Histidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YER055C', 'iRhtoC': 'rt1520'}",,
ATPASEP2e_c,Oxidative phosphorylation,1,1,"{'GSM_iSace1144_rba': '(YCR024C-A and YEL017C-A and YGL008C) or (YCR024C-A and YEL017C-A and YPL036W)', 'iRhtoC': 'rt7216 or rt5249 or rt0602'}",,
14BMANTF_c,N-Glycan biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YBR110W', 'iRhtoC': 'rt6298'}",,
BTS1_c,Biotin metabolism,1,1,"{'GSM_iSace1144_rba': 'YGR286C', 'iRhtoC': 'rt7540'}",,
C14STR_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YNL280C', 'iRhtoC': 'rt0303'}",,
C22STDSy_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR015C', 'iRhtoC': 'rt3348'}",,
C3STDH2_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGL001C', 'iRhtoC': 'rt0467 or (rt0467 and rt5356)'}",,
C3STDH1_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGL001C', 'iRhtoC': 'rt0467 or (rt0467 and rt5356)'}",,
C4STMO1_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR060W', 'iRhtoC': 'rt8272'}",,
C4STMO2_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR060W', 'iRhtoC': 'rt8272'}",,
C4STMO3_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR060W', 'iRhtoC': 'rt8272'}",,
C4STMO4_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGR060W', 'iRhtoC': 'rt8272'}",,
C5STDS_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YLR056W', 'iRhtoC': 'rt0413'}",,
C8STI_c,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR202W', 'iRhtoC': 'rt1745'}",,
C24STR_r,Ergosterol biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YGL012W', 'iRhtoC': 'rt2613'}",,
CBPS_c,Pyrimidine metabolism,1,1,"{'GSM_iSace1144_rba': 'YJL130C and YJR109C and YOR303W', 'iRhtoC': 'rt4929 and rt8313 and rt3934'}",,
CRNOAT_c,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YAR035W or YER024W', 'iRhtoC': 'rt5212'}",,
CRNOAT_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YML042W', 'iRhtoC': 'rt5877'}",,
CAT_c,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YGR088W', 'iRhtoC': 'rt0986'}",,
CAT_x,Fatty acid degradation,1,1,"{'GSM_iSace1144_rba': 'YDR256C', 'iRhtoC': 'rt6937'}",,
CERH124A_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YDR297W', 'iRhtoC': 'rt6946'}",,
CERH124B_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR272C', 'iRhtoC': 'rt1296'}",,
CERH126A_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YDR297W', 'iRhtoC': 'rt6946'}",,
CERH126B_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR272C', 'iRhtoC': 'rt1296'}",,
CERH2A24_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR272C', 'iRhtoC': 'rt1296'}",,
CERH2A26_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR272C', 'iRhtoC': 'rt1296'}",,
CERH324_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR272C', 'iRhtoC': 'rt1296'}",,
CERH326_r,Sphingolipid biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR272C', 'iRhtoC': 'rt1296'}",,
CHTNDA_c,Amino sugar and nucleotide sugar metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR307W or YLR308W', 'iRhtoC': 'rt0086 or rt6259 or rt4385 or rt6255 or rt0089'}",,
CHTNS_c,Amino sugar and nucleotide sugar metabolism,1,1,"{'GSM_iSace1144_rba': 'YBR023C or YBR038W or YNL192W', 'iRhtoC': 'rt6173 or rt1343 or rt0540 or rt6592 or rt7460 or rt0073 or rt0144 or rt1388'}",,
CHOLK_c,Glycerophospholipid metabolism,1,1,"{'GSM_iSace1144_rba': 'YLR133W', 'iRhtoC': 'rt7614'}",,
CHLPCTD_c,Phosphonate and phosphinate metabolism,1,1,"{'GSM_iSace1144_rba': 'YGR202C', 'iRhtoC': 'rt2172'}",,
CHORM_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YPR060C', 'iRhtoC': 'rt1336'}",,
CHORS_c,"Phenylalanine, tyrosine and tryptophan metabolism",1,1,"{'GSM_iSace1144_rba': 'YGL148W', 'iRhtoC': 'rt5669'}",,
FRTT_l,Terpenoid backbone biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR101C and YDL193W', 'iRhtoC': 'rt4281'}",,
GGTT_l,Terpenoid backbone biosynthesis,1,1,"{'GSM_iSace1144_rba': 'YMR101C and YDL193W', 'iRhtoC': 'rt4281'}",,
